Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Length
208.95.112.1,192.168.1.35,TCP,80,55893,54
163.70.140.60,192.168.1.35,TCP,5222,56779,54
208.95.112.1,192.168.1.35,TCP,80,55892,54
192.168.1.35,192.168.1.34,TCP,61262,8009,164
192.168.1.34,192.168.1.35,TCP,8009,61262,164
192.168.1.35,192.168.1.34,TCP,61262,8009,54
208.95.112.1,192.168.1.35,TCP,80,55894,571
208.95.112.1,192.168.1.35,TCP,80,55897,554
192.168.1.35,208.95.112.1,TCP,55895,80,66
208.95.112.1,192.168.1.35,TCP,80,55893,54
208.95.112.1,192.168.1.35,TCP,80,55895,58
192.168.1.35,208.95.112.1,TCP,55893,80,54
192.168.1.35,208.95.112.1,TCP,55894,80,54
192.168.1.35,208.95.112.1,TCP,55895,80,54
208.95.112.1,192.168.1.35,TCP,80,55892,54
192.168.1.35,208.95.112.1,TCP,55897,80,54
192.168.1.35,208.95.112.1,TCP,55892,80,54
192.168.1.35,208.95.112.1,TCP,55898,80,66
208.95.112.1,192.168.1.35,TCP,80,55894,54
192.168.1.35,208.95.112.1,TCP,55895,80,212
208.95.112.1,192.168.1.35,TCP,80,55895,54
208.95.112.1,192.168.1.35,TCP,80,55895,554
192.168.1.35,208.95.112.1,TCP,55899,80,66
208.95.112.1,192.168.1.35,TCP,80,55897,54
208.95.112.1,192.168.1.35,TCP,80,55894,54
208.95.112.1,192.168.1.35,TCP,80,55897,54
208.95.112.1,192.168.1.35,TCP,80,55898,58
192.168.1.35,208.95.112.1,TCP,55895,80,54
208.95.112.1,192.168.1.35,TCP,80,55895,54
192.168.1.35,208.95.112.1,TCP,55894,80,54
192.168.1.35,208.95.112.1,TCP,55896,80,66
208.95.112.1,192.168.1.35,TCP,80,55895,54
208.95.112.1,192.168.1.35,TCP,80,55896,58
192.168.1.35,208.95.112.1,TCP,55897,80,54
192.168.1.35,208.95.112.1,TCP,55895,80,54
192.168.1.35,208.95.112.1,TCP,55898,80,54
208.95.112.1,192.168.1.35,TCP,80,55899,58
192.168.1.35,208.95.112.1,TCP,55896,80,54
